date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:43	301/301	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Apr%202017%2006:35:37%20GMT	http://medicure-html.cmsmasters.net/robots.txt		(from )
02:35:43	62288/62288	---M-Z	200	added ('OK')	text/html	etag:%22f350-52cfc8af39719-gzip%22	http://medicure-html.cmsmasters.net/	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/index.html	(from )
02:35:43	932/932	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223a4-519e0cf5a24f4%22	http://medicure-html.cmsmasters.net/images/favicon.ico	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/images/favicon.ico	(from http://medicure-html.cmsmasters.net/)
02:35:44	120757/120757	---M-Z	200	added ('OK')	text/css	etag:%221d7b5-519e0d96401b7-gzip%22	http://medicure-html.cmsmasters.net/css/style.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/style.css	(from http://medicure-html.cmsmasters.net/)
02:35:44	23216/23216	---M-Z	200	added ('OK')	text/css	etag:%225ab0-519e0cf8ddb83-gzip%22	http://medicure-html.cmsmasters.net/css/styles/fonts.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/styles/fonts.css	(from http://medicure-html.cmsmasters.net/)
02:35:44	47475/47475	---M-Z	200	added ('OK')	text/css	etag:%22b973-519e0cf9040ce-gzip%22	http://medicure-html.cmsmasters.net/css/styles/adaptive.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/styles/adaptive.css	(from http://medicure-html.cmsmasters.net/)
02:35:45	1095/1095	---M-Z	200	added ('OK')	text/css	etag:%22447-519e0cfd22458-gzip%22	http://medicure-html.cmsmasters.net/css/styles/retina.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/styles/retina.css	(from http://medicure-html.cmsmasters.net/)
02:35:45	23217/23217	---M-Z	200	added ('OK')	text/css	etag:%225ab1-519e0d09b45b1-gzip%22	http://medicure-html.cmsmasters.net/css/fonts/css/fontello.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/fonts/css/fontello.css	(from http://medicure-html.cmsmasters.net/)
02:35:45	20323/20323	---M-Z	200	added ('OK')	text/css	etag:%224f63-519e0cfb75cbb-gzip%22	http://medicure-html.cmsmasters.net/css/styles/jackbox.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/styles/jackbox.css	(from http://medicure-html.cmsmasters.net/)
02:35:45	9221/9221	---M-Z	200	added ('OK')	text/css	etag:%222405-519e0cfcb9887-gzip%22	http://medicure-html.cmsmasters.net/css/styles/jquery.jPlayer.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/css/styles/jquery.jPlayer.css	(from http://medicure-html.cmsmasters.net/)
02:35:46	2215/2215	---M-Z	200	added ('OK')	text/css	etag:%228a7-519e0d07e4f7a-gzip%22	http://medicure-html.cmsmasters.net/revolution/css/dynamic-captions.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/revolution/css/dynamic-captions.css	(from http://medicure-html.cmsmasters.net/)
02:35:46	230/230	---M-Z	200	added ('OK')	text/css	etag:%22e6-519e0d084f2bb-gzip%22	http://medicure-html.cmsmasters.net/revolution/css/static-captions.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/revolution/css/static-captions.css	(from http://medicure-html.cmsmasters.net/)
02:35:46	27446/27446	---M-Z	200	added ('OK')	text/css	etag:%226b36-519e0d07f0713-gzip%22	http://medicure-html.cmsmasters.net/revolution/css/settings.css	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/revolution/css/settings.css	(from http://medicure-html.cmsmasters.net/)
02:35:47	15299/15299	---M-Z	200	added ('OK')	application/javascript	etag:%223bc3-519e0cfbed6d5-gzip%22	http://medicure-html.cmsmasters.net/js/modernizr.custom.all.js	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/js/modernizr.custom.all.js	(from http://medicure-html.cmsmasters.net/)
02:35:47	1092/1092	---M--	200	added ('OK')	image/png	etag:%22444-519e0cfda07ea%22	http://medicure-html.cmsmasters.net/images/img/facebook.png	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/images/img/facebook.png	(from http://medicure-html.cmsmasters.net/)
02:35:47	1390/1390	---M--	200	added ('OK')	image/png	etag:%2256e-519e0d005810d%22	http://medicure-html.cmsmasters.net/images/img/twitter.png	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/images/img/twitter.png	(from http://medicure-html.cmsmasters.net/)
02:35:48	1557/1557	---M--	200	added ('OK')	image/png	etag:%22615-519e0d029457e%22	http://medicure-html.cmsmasters.net/images/img/rss.png	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/images/img/rss.png	(from http://medicure-html.cmsmasters.net/)
02:35:48	93975/93975	---M-Z	200	added ('OK')	application/javascript	etag:%2216f17-519e0d01db866-gzip%22	http://medicure-html.cmsmasters.net/js/jquery.min.js	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/js/jquery.min.js	(from http://medicure-html.cmsmasters.net/)
02:35:48	1194/1194	---M--	200	added ('OK')	image/png	etag:%224aa-519e0cfe9697f%22	http://medicure-html.cmsmasters.net/images/img/linkedin.png	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/images/img/linkedin.png	(from http://medicure-html.cmsmasters.net/)
02:35:48	1592/1592	---M--	200	added ('OK')	image/png	etag:%22638-519e0cff7b5bb%22	http://medicure-html.cmsmasters.net/images/img/skype.png	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/images/img/skype.png	(from http://medicure-html.cmsmasters.net/)
02:35:48	62288/62288	---M-Z	200	added ('OK')	text/html	etag:%22f350-52cfc8af39719-gzip%22	http://medicure-html.cmsmasters.net/index.html	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/index-2.html	(from http://medicure-html.cmsmasters.net/)
02:35:49	25960/25960	---M-Z	200	added ('OK')	text/html	etag:%226568-519e0cef18726-gzip%22	http://medicure-html.cmsmasters.net/person_block.html	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/person_block.html	(from http://medicure-html.cmsmasters.net/)
02:35:49	22073/22073	---M-Z	200	added ('OK')	text/html	etag:%225639-519e0ceefdd5c-gzip%22	http://medicure-html.cmsmasters.net/featured.html	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/featured.html	(from http://medicure-html.cmsmasters.net/)
02:35:50	22145/22145	---M-Z	200	added ('OK')	text/html	etag:%225681-519e0cee824c1-gzip%22	http://medicure-html.cmsmasters.net/colored_blocks.html	C:/My%20Web%20Sites/Medicare/medicure-html.cmsmasters.net/colored_blocks.html	(from http://medicure-html.cmsmasters.net/)
